HYBAS_ID,TDq0,TDq1,TDq2,Obs_TDq0,Obs_TDq1,Obs_TDq2,FDq0,FDq1,FDq2,Obs_FDq0,Obs_FDq1,Obs_FDq2,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HFP,HMG,Sam_eff,coverage_rate,Num,year_count,year_range,Time span,convex_hull_area,Bio4,Elev,Year,eff,Pop_d,Pop_c,Longitude,Latitude
2040018370,25.30980968,10.70993628,8.302438807,29,10.92637547,8.372697034,4.887984741,2.594761767,2.289522901,6.409908593,3.106156753,2.677271448,0.103,241,19,944.24,469,17.15659287,10.272838,11.76083651,620.6454515,64.01974383,827,76,31,29,5061.3,199611.2958,854,21.57627331,0.552744161,45640.44811,0.829849515,231,6,34,35,4198.95068,465.3477451,151.7951771,38.5,550.1374453,87.803,404.741,-6.842377162,37.50174439
4040234270,14.14420487,11.65302252,9.439922401,12,9.795194467,8.213675214,2.609469941,1.902345601,1.614767034,2.957259566,2.446212815,2.147824899,0,13,11,3961.1,172,7.427342209,12.59827735,12.1587633,216.6190016,30.44256766,862,34,0,1,52472.7,2483.191589,794,7.117160848,0.105341186,228.6903476,0.080969264,12,5,32,33,4247.319688,1321.324416,501.0975254,2.4,28.25311227,2.941,156.766,74.15161993,45.3282561
6040025420,48.26138646,30.79572059,22.84241188,45,29.79086069,22.34916865,4.751988045,2.443144759,1.927488949,7.548276543,4.798297554,3.781473929,0.078,1399,22,16107.199,576,8.036547167,8.916328666,4.102097322,1742.248823,45.51964617,3179,441,66,1,49783.1,54716.26867,803,9.756960761,0.314975643,863.7469342,0.59676373,43,3,5,6,4483.292106,359.2498048,657.7167834,14.33333333,95.91166264,14.608,695.636,-72.53824549,-42.32948728
7040073870,36.97805388,25.58139064,17.47702127,32,22.14950842,16.07961165,6.94776902,4.402938966,3.294446325,7.602016162,5.26821054,4.096329609,25.717,87,2,3879.589,699,7.613388823,16.57691283,7.497968512,304.7153783,18.13762652,2261,129,27,1,30048,7596.835912,905,9.030282107,0.037712991,798.7220447,0.149370642,24,11,20,21,4487.783712,841.5983528,1982.463576,2.181818182,53.47851309,0.326,9.84,-114.8010047,39.5989483
1040034900,11.59222747,9.520629952,8.297521759,13,10.4602846,9.353287012,2.548175455,2.33631073,2.241786895,3.237608909,2.884668816,2.737281729,0.905,103,17,429.949,919,24.3748399,7.693295044,23.24151028,119.3813204,63.47601218,1399,180,2,13,3938.8,13633.52818,477,6.961583422,0.213354392,37828.78034,1.164268717,149,15,32,33,4586.786112,130.5959752,304.0933981,9.933333333,324.8461916,14.066,53.6,53.78943694,12.49034832
2040018240,46.32878502,32.0928492,24.73493277,47,32.38714399,24.93044565,8.194303592,5.229123943,4.14775,10.15403633,6.908637283,5.559341529,1.221,202,49,941.617,317,16.9995431,11.42165335,11.68379012,531.2091998,65.83156936,768,79,27,38,5869.8,1410961.277,854,18.38754122,0.390506932,14991.99291,0.807150438,88,18,35,36,4737.859123,553.2800562,184.4834045,4.888888889,185.7378992,173.623,879.215,-5.769700512,36.59939371
4040031830,27.0614239,20.89301825,15.65147888,20,15.8297024,12.90243902,3.260419495,2.902352015,2.648604522,4.107229749,3.547905397,3.162892605,0.016,165,31,3219.47,127,26.94691935,12.70940539,28.48380676,627.3797716,147.244016,535,29,13,68,23549.7,676531.0533,712,18.01288748,0.593563345,424.6338595,0.209944554,10,10,12,13,4945.914209,342.3372066,87.23608914,1,20.21870897,289.799,6700.158,71.38894593,21.490021
4040627620,33.26594967,22.86743241,18.81818535,33,22.78724563,18.7609474,6.095290465,4.67982942,3.901997045,7.42573013,5.58168596,4.72054046,328.917,91,5,17835.807,573,8.959569953,10.72846168,18.72401968,557.6324861,81.80108157,3316,142,16,40,135139.6,2771373.382,709,15.11925414,0.509625921,192.3936433,0.039546201,26,1,0,1,5343.629451,927.5542232,1379.981796,26,48.65606839,241.003,32851.406,107.5424239,35.36932772
2040363700,15.50074965,14.23537619,11.72679305,14,11.98881345,10.05128205,3.456887159,2.944787064,2.592398463,3.764160582,3.312341248,2.959309864,128.95,172,7,5484.532,105,5.799732935,8.853215064,17.55486206,591.4218162,34.9248464,1713,14,46,26,24894.6,276488.0304,796,12.46870185,0.47668814,441.862894,0.217065426,11,7,34,35,5403.686275,867.528452,219.6045119,1.571428571,20.35647416,116.723,2877.751,28.73398991,53.79218722
5040017040,35.25213107,19.22768087,10.04310333,17,11.77559276,8.307692308,3.659733011,2.46656174,2.241590513,3.661457281,2.934500603,2.535333538,6.695,2151,21,20091.66,108,26.40620147,8.362121442,25.93186691,3225.40754,29.23860138,1461,57,40,32,46482.8,657316.0078,736,4.428356008,0.201843415,258.1600076,0.116607992,12,9,39,40,5419.233565,41.32341514,88.22015281,1.333333333,22.14335266,74.434,3371.292,110.2397671,1.129960545
6040752470,50.38186361,35.54009697,28.39356818,56,37.16522222,29.56252431,6.07451334,4.071525352,3.149447878,9.047612014,6.376447831,5.208441363,1198.418,359,5,24903.771,269,19.73612499,12.00571324,22.71014213,1318.100886,42.04894262,1058,57,11,24,101740.9,419919.5606,795,19.2639861,0.311012751,717.5088878,0.054411674,73,2,3,4,5532.665262,272.1974329,634.3556784,36.5,131.9436412,45.326,4605.981,-50.22475962,-23.51158891
2040056770,45.25452517,26.59966203,20.16501864,60,28.25381935,20.97110252,7.063211278,3.796896229,2.966244918,10.69646484,5.51186703,4.329895683,1.903,207,13,278.159,66,6.873707908,3.008409307,5.12849002,2770.524501,33.03149989,882,25,60,30,3306.2,19319.098,901,7.419357579,0.01585628,205069.2638,1.708589108,678,38,49,50,5648.923922,287.1410632,176.1071225,17.84210526,1200.228591,18.247,57.067,18.54768482,57.51486619
2040065960,18.78397977,15.35262143,13.34044883,17,13.99031798,12.24489796,3.350348079,2.682932076,2.41418658,3.975633262,3.378590993,3.071674907,37.407,97,17,2210.239,518,14.68711205,11.28357474,10.35032637,173.607764,51.83107233,879,211,25,37,11588.9,137571.0226,774,8.72953749,0.178824364,1380.631466,0.492206887,16,9,46,47,5704.330488,967.9040221,61.94381882,1.777777778,28.04886574,72.915,847.21,55.32427403,37.19272024
5040533450,9.98065188,7.561172739,6.643134372,9,7.147876127,6.329512894,2.989634993,2.635815366,2.526501124,2.942794526,2.633711228,2.498768664,122.632,15,3,1643.42,136,19.58561871,14.52239411,27.24880706,479.1112789,45.28236077,1100,13,32,22,20319.1,2288.079391,954,13.65125551,0.199122005,787.4364514,0.285016953,16,7,52,53,5792.901721,591.6564706,371.4580187,2.285714286,27.6200094,0.131,2.683,146.0626657,-30.66551186
