,Assemblage,qTD
210,3040024310,20.73902192
1137,3040386960,30.87530635
1287,3040481930,15.63916573
204,3040483880,44.01289421
213,3040496490,16.57858112
201,3040679750,25.93879245
198,3040679760,31.09645925
1293,4040000890,19.49531032
1119,4040003020,30.61748167
1035,4040005050,27.23581993
1122,4040005060,26.73406504
366,4040007410,36.367883
351,4040009890,35.55962832
1038,4040012290,12.24442744
1182,4040012770,19.43949471
1395,4040012780,16.6390743
348,4040012990,26.15581372
1347,4040013000,5.811221554
1353,4040015000,31.17961335
1371,4040015010,37.49459338
1386,4040015090,9.025815309
1152,4040017030,21.442319
1161,4040018350,20.20728653
1008,4040023060,30.09386569
1011,4040023810,22.58664565
1218,4040025460,19.09807107
1140,4040027100,14.39777701
1305,4040027780,19.70882159
1245,4040027790,10.4647376
1233,4040027940,17.28339607
1185,4040027950,14.35537946
1203,4040028760,15.78059314
1188,4040029530,22.76019678
1368,4040031830,15.65147888
1116,4040037060,7.498333641
1026,4040039450,16.9396314
1125,4040045780,19.56802888
1413,4040046100,10.9503582
1176,4040046370,17.71634067
1302,4040047500,12.92982226
1200,4040048900,19.77689695
1446,4040050240,8.804184587
1374,4040050300,4.605573027
207,4040095270,34.64902751
1266,4040169400,16.66561165
1503,4040223160,9.194731281
1359,4040234270,9.439922401
1131,4040298550,12.31075971
1479,4040484760,8.243837877
1485,4040545530,9.077256055
354,4040627620,18.81818535
357,4040748300,38.83804324
984,4040773260,29.22433378
1005,4040783120,31.90150241
1194,4040839030,17.38971683
1221,4040960200,15.13143484
1239,4040960480,13.04898979
1149,4040975160,21.57827413
345,4041043580,44.07357304
1314,4041108500,14.38613613
1269,4041108580,27.98376823
1236,4041128330,36.85547778
1320,4041144860,49.03633439
1248,4041144880,15.55859794
1089,5040000010,32.702054
1092,5040007690,17.68517689
1227,5040011800,8.8175319
1191,5040014020,11.61822586
1401,5040017040,10.04310333
1254,5040017830,15.32126699
1164,5040022500,10.65459329
1230,5040031240,17.92161016
1272,5040038940,12.29686426
327,5040041880,17.57794618
234,5040049720,28.73942781
273,5040055960,14.43004598
276,5040056460,11.29857026
306,5040056470,9.124186857
321,5040056740,14.36355091
333,5040056750,13.37026713
315,5040057320,15.16723911
291,5040057330,10.50535062
303,5040057720,16.02305143
312,5040059440,11.6854934
252,5040059450,18.28273403
228,5040061660,9.575525893
240,5040061670,17.3640354
279,5040064130,12.65766539
258,5040064140,17.53576868
288,5040065600,10.94070457
219,5040067860,24.12286934
246,5040068450,20.40688019
255,5040068460,20.35834351
237,5040069590,18.65601981
270,5040069600,13.89894967
243,5040069960,17.26715067
222,5040069970,16.59185511
231,5040070700,17.99245561
261,5040070710,42.22034223
300,5040073410,6.764129629
318,5040073420,10.34196491
324,5040076530,5.587888765
309,5040076890,12.63813906
285,5040077640,5.926016303
558,5040082270,17.45548313
372,5040085040,23.11746658
282,5040087630,6.924302528
267,5040491370,4.693127399
249,5040491510,11.10308178
225,5040511570,16.66614961
216,5040524870,14.76761262
294,5040533380,8.999979265
330,5040533450,6.643134372
297,5040591010,6.132515555
264,5040591050,38.67831933
1047,6040000010,33.68313798
537,6040000740,24.29432968
1017,6040000750,36.02039948
1380,6040005190,18.88056245
1377,6040005490,9.266021138
534,6040005500,32.71044887
414,6040007010,29.8995254
417,6040007960,33.84675499
420,6040008320,49.34132294
1242,6040009770,21.84612781
498,6040012800,13.4039011
504,6040013420,21.01724417
486,6040013430,23.33365482
519,6040013750,14.82337418
489,6040013760,19.13881933
516,6040014330,37.10254303
1533,6040015940,17.00936579
1407,6040015950,16.09893697
528,6040016720,12.71319577
492,6040016760,26.10345796
1365,6040016970,19.55098824
1041,6040016980,10.25060599
1392,6040019090,6.876696794
339,6040025130,25.29232652
342,6040025140,23.16633355
336,6040025420,22.84241188
1416,6040026140,5.980483354
435,6040026990,4.905655913
1326,6040029280,10.02565831
363,6040032290,46.59114205
1086,6040034810,13.75703932
507,6040040460,16.80867263
1107,6040075390,27.00876616
1530,6040075410,13.70841375
531,6040084750,23.96029434
1053,6040102250,32.78014504
1044,6040102330,34.12498937
411,6040239720,48.41129633
555,6040239820,20.63142046
510,6040262110,65.87953362
408,6040262220,48.5142778
480,6040280400,61.52803443
360,6040280410,61.18621694
483,6040285930,53.94169542
495,6040285990,35.77520178
513,6040345000,15.71481258
522,6040527670,16.10187354
1536,6040527680,10.56314301
552,6040709820,41.85644781
501,6040752460,13.00565939
549,6040752470,28.39356818
369,6040814820,36.47001684
525,6040814830,33.14558976
1323,6040870370,20.76420872
1299,6040870380,7.691067166
1173,7040000010,23.57643258
1308,7040005410,15.46887372
741,7040005420,16.7654311
1056,7040006390,18.03198623
738,7040006400,11.04743557
729,7040007380,26.27925967
732,7040007390,21.99143773
867,7040007830,17.33006888
1029,7040007840,17.2943414
870,7040008720,23.40755782
1212,7040013170,15.81165617
819,7040013180,15.26781566
753,7040013550,33.3754565
843,7040013560,20.13105459
891,7040014040,33.81214272
966,7040014050,31.49863943
861,7040014200,46.38942299
957,7040014210,36.08729917
831,7040014250,22.24165851
777,7040014930,19.87799387
669,7040014940,22.50343331
666,7040016260,30.54711936
672,7040016270,10.30131251
1281,7040019010,6.592045759
804,7040019200,9.168775157
801,7040020100,22.2827289
687,7040021740,30.38135438
1206,7040024300,5.929600086
678,7040024580,30.49343107
1197,7040024600,8.57818681
1257,7040024830,5.220528693
651,7040033480,20.02186613
657,7040034520,35.58337675
642,7040034530,53.25882825
726,7040038340,25.59482381
903,7040039620,39.82910537
756,7040039630,22.44559517
882,7040039870,34.56958545
813,7040039880,17.1438993
783,7040041050,45.23116018
828,7040041060,13.17538658
879,7040041400,33.23330365
900,7040041410,17.3776324
906,7040042040,19.51519475
888,7040043090,20.48392705
978,7040043100,34.02101814
924,7040043160,25.56761042
810,7040043170,21.21312788
912,7040045890,34.73829284
960,7040045900,20.84719565
837,7040046590,35.19244525
945,7040046600,21.73240115
921,7040046750,15.22377935
975,7040047060,11.97104419
939,7040047070,19.00578906
918,7040047850,16.44155688
1224,7040047860,9.32348725
897,7040047970,16.43022575
909,7040047980,13.94569449
873,7040048300,18.00686558
981,7040048310,12.40653289
855,7040048410,25.44749736
546,7040048420,26.67763341
540,7040049270,28.34600335
744,7040049280,12.53155523
735,7040049990,18.64677707
1263,7040050000,20.45040915
1398,7040050640,22.38820543
1419,7040050650,25.98685687
1110,7040050920,25.17133774
1020,7040050930,17.89093747
1146,7040054660,25.67370598
1284,7040054670,17.94416059
675,7040059990,24.79593522
933,7040064730,11.58170237
1215,7040065760,37.06393415
1356,7040070790,13.80129842
477,7040072800,13.82765914
825,7040073620,37.85055601
927,7040073630,44.33757585
1431,7040073660,16.54228339
876,7040073690,17.45542582
963,7040073710,14.89298361
816,7040073720,18.00544312
915,7040073780,26.94817497
951,7040073830,21.73057922
894,7040073870,17.47702127
684,7040192420,18.31984129
681,7040192560,33.28697633
705,7040194860,22.96177381
723,7040194980,5.864715843
699,7040282720,38.86171858
696,7040282770,28.21220849
660,7040374800,17.63982249
648,7040374950,26.39022399
885,7040379310,41.77502751
663,7040379430,43.78378459
972,7040388580,42.633829
936,7040388740,47.45104975
714,7040392520,38.22113132
759,7040392650,36.46356598
834,7040394680,26.49099613
942,7040394690,20.66200873
954,7040395190,47.80808529
840,7040395340,29.93076556
654,7040402320,19.92940489
645,7040402430,19.78895249
852,7040426310,12.93573901
717,7040426320,14.83778361
720,7040569640,40.54325121
711,7040569650,34.25757301
543,7040585110,41.71053461
930,7040585120,39.00823785
969,7040607990,29.34053847
948,7040608130,34.208819
747,7040612640,23.23095476
768,7040612840,28.34533092
864,7040632220,14.17959028
762,7040686450,14.45597377
771,7040686540,37.75571398
822,7040707710,15.43910308
774,7040707810,24.55835041
765,7040741760,24.35536913
858,7040741770,25.41083776
789,8040000810,12.85485397
780,8040000820,28.67821774
846,8040002260,30.71545519
786,8040002270,10.29934133
795,8040007180,6.121214023
849,8040007190,7.612995456
798,8040008390,14.45718782
690,8040009560,23.50773354
792,8040141480,19.90101906
750,8040176200,28.49121122
807,8040183760,10.45856817
708,8040219290,11.16340533
693,8040252760,13.91964388
702,8040307300,40.52084929
