HYBAS_ID,TDq0,Obs_TDq0,TDq1,Obs_TDq1,TDq2,Obs_TDq2,FDq0,Obs_FDq0,FDq1,Obs_FDq1,FDq2,Obs_FDq2,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HFP,HMG,Sam_eff
1040040240,23.16612903,23,16.58701175,15.98104887,12.92270436,13.37694878,3.055719494,4.434875655,2.605416692,3.55528838,2.456785957,3.23753106,135.536,15,13,9150.69,103,22.28775093,15.17361923,21.41414853,3.381419622,38.31828964,1802,14,2,2,174238.9,16367.56769,606,3.078808849,0.197077732,223.8306142
1040040320,68.15254237,19,20.17657493,13.25296367,12.01941826,10.26843658,3.623036311,4.153195511,2.97195535,3.432441642,2.810762455,3.074388581,285.762,102,13,22644.557,420,23.66058514,14.98866618,14.13081232,31.00325474,49.10583674,981,124,0,17,119969.9,533888.7094,448,1.198921675,0.316260135,125.031362
1040040340,10.49019608,10,9.216426595,8.337729917,7.32016024,7.368271955,2.303900843,2.782202973,2.097817631,2.503451617,2.000408999,2.355225045,0,33,7,6512.461,529,19.40582448,14.84560568,27.53686696,545.5403932,140.4046617,1067,58,0,1,114355,248116.1327,743,0.948091931,0.189089012,131.1704779
1040040520,61.02906977,21,17.64379962,13.40067273,10.66496753,9.706036745,5.648247715,4.993936588,2.828454023,3.383419294,2.29149458,2.772909063,66.345,44,2,4325.081,532,19.66605658,14.18544261,12.98408679,61.26518596,59.15391114,725,82,0,0,52431,16657.59515,677,0.656438942,0.095111573,514.9625222
1040041020,38.85294118,19,20.77520993,14.38247922,14.15471534,11.66367713,2.678645648,3.773797677,2.408641939,3.211340684,2.243128348,2.864518599,32.843,101,12,6097.122,352,20.30181271,16.00627527,32.22316029,37.13850798,81.89001643,2764,153,9,7,54919.2,30212.70585,539,2.196025682,0.234863829,236.7113869
1040601190,37.76404494,17,14.5563821,12.06269229,11.2811046,10.32724902,3.150937492,3.749955901,2.548076832,3.115160521,2.423754367,2.899005233,1300.549,37,14,40787.328,69,27.93963123,14.67126015,27.37378815,504.1801759,128.1733149,1642,19,1,15,260944,162713.9561,471,8.822972796,0.366351552,53.65135815
1040601200,46.29752066,22,17.3671796,14.71561229,12.57879059,11.70343725,3.258944191,4.261003584,2.61776923,3.389165412,2.488825124,3.046332539,1554.698,222,14,113345.633,310,22.75732557,14.78004471,21.83952937,1017.90223,113.8106728,3791,143,3,14,308196.7,229802.2701,463,9.80101115,0.47345457,103.8297944
1040837890,83.5421981,77,23.23703658,22.72844099,11.52449933,11.63073894,5.971914274,11.40594339,4.524855465,5.619653673,4.092096483,4.360459307,1537.884,163,25,115848.961,188,22.4701972,11.28230918,22.09614191,1151.980921,55.7026153,4399,57,19,23,552624.9,192508.9874,491,10.104188,0.41143976,559.1496149
1040873640,43.13488975,35,24.10256303,22.06984887,16.87729294,16.63283808,3.761742215,5.717236107,2.899345173,4.209573648,2.629166645,3.575152899,404.298,179,2,13060.896,201,27.17562982,10.66739758,25.7470812,1045.508117,76.91913435,590,32,57,21,52495,23732.12311,526,8.34360925,0.27332898,400.0380989
1040909890,117.0563038,93,63.79417979,59.56603281,45.52644853,45.79114034,9.966696943,14.94472945,6.288839064,10.05999697,5.017889418,8.111673678,2922.666,303,9,70926.797,147,26.38795961,11.56398938,24.71197194,1134.436353,99.04284243,1446,39,22,33,187501.7,517179.6832,526,11.78370214,0.49148188,181.3316893
1041156960,75.18439716,61,43.53790817,39.05647579,30.29431284,29.40432612,4.084969016,8.498267948,3.021178803,5.907437239,2.654497622,4.82442312,18379.127,558,5,413726.875,127,24.05226774,10.09241944,23.79450182,1731.067833,37.12710359,3013,43,87,1,973777.8,6307.175417,435,5.105272134,0.127544246,54.42720095
