"","Assemblage","qFD","Assemblage.1","qFD.1","Assemblage.2","qFD.2"
"208","3040483880",8.9446147547555,"3040483880",7.86181047659572,"3040483880",7.02781179377422
"209","3040496490",8.72594703473094,"3040496490",5.41720351829643,"3040496490",4.11347788939036
"210","3040679750",10.9924044530894,"3040679750",7.67248445304485,"3040679750",6.0769418747056
"211","3040679760",11.8242957108649,"3040679760",8.25737380609634,"3040679760",6.5619058800956
"212","4040000890",7.23461767225838,"4040000890",5.08307289619549,"4040000890",3.87750137050374
"213","4040003020",19.3193758327891,"4040003020",9.29468791025496,"4040003020",7.01057476366651
"214","4040005050",17.5191619372751,"4040005050",8.37293943044958,"4040005050",6.35294094873084
"215","4040005060",13.8726439587891,"4040005060",8.29996109403259,"4040005060",6.39421384036199
"216","4040007410",12.1832390403236,"4040007410",9.55946771587512,"4040007410",8.20638649614107
"217","4040009890",12.9118375903024,"4040009890",9.19710979960925,"4040009890",7.72262042103057
"218","4040012290",9.91966785344462,"4040012290",4.45540481230236,"4040012290",3.15202958624016
"219","4040012770",6.20770959697794,"4040012770",4.68012906210975,"4040012770",3.89721708410015
"220","4040012780",4.22661137199593,"4040012780",3.44495123712412,"4040012780",2.92670339154968
"221","4040012990",15.1850986743615,"4040012990",7.58397515085748,"4040012990",5.94576012860117
"222","4040013000",3.10198064638335,"4040013000",2.15548265899539,"4040013000",1.88008694027432
"223","4040015000",12.2196905577212,"4040015000",7.21690968959586,"4040015000",4.99807146299323
"224","4040015010",7.73790602826325,"4040015010",6.25719973152471,"4040015010",5.18434698281518
"225","4040015090",3.76933514551156,"4040015090",2.84165885793176,"4040015090",2.44215517372006
"226","4040017030",10.306462127963,"4040017030",5.56637506890673,"4040017030",3.9929448849739
"227","4040018350",11.772923096969,"4040018350",5.42834242253659,"4040018350",3.95872671775729
"228","4040023060",7.95285074114273,"4040023060",6.11984241821839,"4040023060",5.17053646439531
"229","4040023810",5.58489418056069,"4040023810",4.65521394349103,"4040023810",4.06941116390015
"230","4040025460",6.89188228382221,"4040025460",4.46733710337435,"4040025460",3.79846257022502
"231","4040027100",5.16108899938518,"4040027100",3.74220584821172,"4040027100",3.15025524386577
"232","4040027780",5.5626662465637,"4040027780",4.36226874377329,"4040027780",3.80721366812049
"233","4040027790",3.08138187936664,"4040027790",2.66513320836931,"4040027790",2.40890089781501
"234","4040027940",6.65338085192623,"4040027940",4.39761858821032,"4040027940",3.59540137489252
"235","4040027950",5.74220265224142,"4040027950",3.71849725899981,"4040027950",3.13348594357501
"236","4040028760",7.95280665989191,"4040028760",4.2728802301178,"4040028760",3.37949412912325
"237","4040029530",10.1006373500688,"4040029530",5.43644727542999,"4040029530",4.19400946592049
"238","4040031830",4.10722974894257,"4040031830",3.54790539686055,"4040031830",3.16289260502631
"239","4040037060",3.49789454504962,"4040037060",2.67371619869666,"4040037060",2.22483231018825
"240","4040039450",8.82312233448069,"4040039450",5.10339889285032,"4040039450",3.69414890807856
"241","4040045780",7.83279135643462,"4040045780",6.2040795618955,"4040045780",5.47157807730382
"242","4040046100",3.52642350967185,"4040046100",2.94760053722949,"4040046100",2.62701508248619
"243","4040046370",9.90412426121436,"4040046370",5.03238136607988,"4040046370",3.81843325846932
"244","4040047500",5.13606024781506,"4040047500",3.64135836232951,"4040047500",2.96700821822315
"245","4040048900",8.27102141526071,"4040048900",4.99533855169513,"4040048900",3.87950513974044
"246","4040050240",3.9937937511373,"4040050240",3.16422594664441,"4040050240",2.78879126286359
"247","4040050300",2.99091533258903,"4040050300",2.38492434511118,"4040050300",2.09890495701684
"248","4040095270",11.039857192487,"4040095270",8.99833010850715,"4040095270",7.83754436581427
"249","4040169400",4.07633937949597,"4040169400",3.7119873250595,"4040169400",3.47324118269247
"250","4040223160",3.95219202523438,"4040223160",3.36800400293261,"4040223160",2.97227210227397
"251","4040234270",2.95725956632398,"4040234270",2.44621281481515,"4040234270",2.14782489934506
"252","4040298550",4.58517473221678,"4040298550",3.38912649267731,"4040298550",2.94952061345156
"253","4040484760",5.34186441223709,"4040484760",3.71058495102296,"4040484760",3.0180795777608
"254","4040545530",3.74848148831332,"4040545530",3.02785357734401,"4040545530",2.73464747877768
"255","4040627620",7.42573012988403,"4040627620",5.58168595993267,"4040627620",4.72054046008082
"256","4040748300",14.1995417244924,"4040748300",10.019439072569,"4040748300",8.28051796206377
"257","4040773260",18.0529753322304,"4040773260",8.65487057585938,"4040773260",6.46825872192257
"258","4040783120",13.6813643246019,"4040783120",8.37146778391094,"4040783120",6.5380491055276
"259","4040839030",4.30857486940512,"4040839030",3.6897533535418,"4040839030",3.24992927540883
"260","4040960200",7.13622464775544,"4040960200",4.39565694606234,"4040960200",3.31843809408374
"261","4040960480",6.90135362555498,"4040960480",3.83852125101042,"4040960480",3.09393422785463
"262","4040975160",9.12214036182305,"4040975160",5.31280899572504,"4040975160",4.07473495129752
"263","4041043580",18.3912677166194,"4041043580",10.9189376009301,"4041043580",8.60695064272682
"264","4041108500",5.31473876864235,"4041108500",3.8081387105365,"4041108500",3.12657862724809
"265","4041108580",7.83508106836497,"4041108580",5.69846335878218,"4041108580",4.55463447455489
"266","4041128330",6.24043924294823,"4041128330",5.40160375347042,"4041128330",4.71028254963852
"267","4041144860",5.65897752409804,"4041144860",5.08447755223057,"4041144860",4.66727401974529
"268","4041144880",5.74799745779115,"4041144880",4.04783756968809,"4041144880",3.32480440484722
"269","5040000010",9.39998029834295,"5040000010",6.85062848651783,"5040000010",5.55131204784083
"270","5040007690",12.4408899378446,"5040007690",5.52433959052034,"5040007690",3.96217256822468
"271","5040011800",4.56811315840711,"5040011800",3.14263011490556,"5040011800",2.69430325006153
"272","5040014020",4.62246063955631,"5040014020",3.58798491077991,"5040014020",3.20633093559191
"273","5040017040",3.66145728065394,"5040017040",2.93450060309636,"5040017040",2.53533353833745
"274","5040017830",7.36737835317606,"5040017830",4.64817242457962,"5040017830",3.36868373734761
"275","5040022500",4.67388260271476,"5040022500",3.4293422030444,"5040022500",2.90652365363968
"276","5040031240",5.5513985547929,"5040031240",4.31634883904168,"5040031240",3.65741698800175
"277","5040038940",3.2229365421606,"5040038940",2.81599757892123,"5040038940",2.59150631178803
"278","5040041880",5.09305197242244,"5040041880",4.11719984798681,"5040041880",3.57215408058599
"279","5040049720",10.1988981145361,"5040049720",6.25056259642228,"5040049720",4.87287089705613
"280","5040055960",4.78697394185315,"5040055960",3.81701737979617,"5040055960",3.49356566141322
"281","5040056460",4.69675601272093,"5040056460",3.56634609849091,"5040056460",3.11175000045076
"282","5040056470",3.99656665816811,"5040056470",3.11080760964618,"5040056470",2.8003933033372
"283","5040056740",4.6825987045509,"5040056740",3.88960738241607,"5040056740",3.44930800214206
"284","5040056750",4.79037286279338,"5040056750",4.00909738967107,"5040056750",3.64231556710098
"285","5040057320",4.75121087947508,"5040057320",4.1235841209059,"5040057320",3.76058760379401
"286","5040057330",4.10870264144467,"5040057330",3.16426040795338,"5040057330",2.8812037781891
"287","5040057720",5.47152509816887,"5040057720",4.31473324705852,"5040057720",3.79324972250512
"288","5040059440",4.67127775289432,"5040059440",3.84981005705576,"5040059440",3.49231387452575
"289","5040059450",6.85707581838875,"5040059450",4.54102702688476,"5040059450",3.76614695698583
"290","5040061660",3.37129670455594,"5040061660",3.01727619403117,"5040061660",2.77344527370657
"291","5040061670",7.45218630739888,"5040061670",4.39440343138702,"5040061670",3.52277322290698
"292","5040064130",4.54540257775365,"5040064130",3.63488570814142,"5040064130",3.11211005275702
"293","5040064140",5.67912969677917,"5040064140",4.42096100526808,"5040064140",3.79627545675276
"294","5040065600",3.86735479437536,"5040065600",3.20661434090607,"5040065600",2.78584703928421
"295","5040067860",9.89385360945849,"5040067860",5.75962265513799,"5040067860",4.43586573019783
"296","5040068450",7.86376760908711,"5040068450",5.17181030290278,"5040068450",4.0226326000484
"297","5040068460",7.65456118451906,"5040068460",5.02768222875959,"5040068460",4.02563843373951
"298","5040069590",8.0015350413939,"5040069590",4.9812332430069,"5040069590",3.9383853342258
"299","5040069600",5.20568052328069,"5040069600",3.86617446018728,"5040069600",3.27183488930574
"300","5040069960",7.03081927697091,"5040069960",4.66232384352157,"5040069960",3.74644428273335
"301","5040069970",9.42847585174379,"5040069970",4.94783763529911,"5040069970",3.68370071386378
"302","5040070700",8.05266369662486,"5040070700",4.75550426236076,"5040070700",3.84239951851317
"303","5040070710",21.2831127809824,"5040070710",9.51847896868098,"5040070710",6.53457363891721
"304","5040073410",3.19877254695489,"5040073410",2.72438488690065,"5040073410",2.53955898600268
"305","5040073420",6.33288376689465,"5040073420",3.92707164027523,"5040073420",3.14675347464648
"306","5040076530",2.91577783539195,"5040076530",2.37999134875122,"5040076530",2.14130429704921
"307","5040076890",3.55930888090146,"5040076890",3.2089366041466,"5040076890",2.96938808390388
"308","5040077640",3.6954129050427,"5040077640",2.41294625022165,"5040077640",2.04981516621246
"309","5040082270",10.2936308758111,"5040082270",4.76693478943514,"5040082270",3.97284753351173
"310","5040085040",10.5615922007665,"5040085040",5.32198750529849,"5040085040",4.4091979213369
"311","5040087630",2.84506226303584,"5040087630",2.59256361775858,"5040087630",2.46292304079092
"312","5040491370",2.68765366625632,"5040491370",2.19809665633872,"5040491370",2.02752628618812
"313","5040491510",4.11432363150466,"5040491510",3.26086914107248,"5040491510",2.95195777192514
"314","5040511570",5.66147385980531,"5040511570",4.19390242153957,"5040511570",3.63448270080561
"315","5040524870",7.29474788918276,"5040524870",4.3878344702022,"5040524870",3.81468348079821
