"","all_ID"
"619",8040307380
"620",5040003690
"621",4040031830
"622",4040015010
"623",2040026030
"624",4040050300
"625",7040065090
"626",6040005490
"627",6040005190
"628",2040292690
"629",4040015090
"630",5040079730
"631",7040024890
"632",5040003700
"633",2040379760
"634",5040004220
"635",2040068680
"636",4040648310
"637",4040009880
"638",6040019090
"639",1040915990
"640",4040012780
"641",4040694350
"642",7040050640
"643",4040006580
"644",4040005710
"645",5040017040
"646",4040023230
"647",5040017030
"648",4040783330
"649",5040006690
"650",7040073640
"651",2040067750
"652",2040439160
"653",6040639920
"654",6040015560
"655",2040085960
"656",6040015950
"657",2040085500
"658",4040046100
"659",6040026140
"660",8040219130
"661",6040017380
"662",8040264670
"663",7040050650
"664",5040040040
"665",7040074080
"666",5040087800
"667",2040816320
"668",2040004130
"669",2040067740
"670",5040005140
"671",5040081550
"672",3040007880
"673",7040073660
"674",4040032410
"675",4041128230
"676",1040040050
"677",6040026750
"678",4040017020
"679",6040040110
"680",1041213640
"681",2040085710
"682",1040909890
"683",5040053140
"684",4040031750
"685",6040389870
"686",2040041180
"687",2040073580
"688",4040032890
"689",6040018290
"690",7040069860
"691",6040709810
"692",1040040440
"693",4040050240
"694",2040084130
"695",2040006590
"696",5040015820
"697",4040838850
"698",2040439800
"699",1040010040
"700",4040012280
"701",7040256690
"702",5040087610
"703",1040695540
"704",6040017530
"705",6040040510
"706",2040085670
"707",2040071700
"708",6040027000
"709",2040070060
"710",2040065960
"711",2040003560
"712",2040077470
"713",2040004280
"714",2040079320
"715",2040085620
"716",4040050360
"717",4040484760
"718",2040066030
"719",4040484700
"720",4040545530
"721",4040234430
"722",2040070510
"723",2040085690
"724",2040828790
"725",2040072590
"726",2040085730
"727",4040223160
"728",2040066490
"729",2040072930
"730",2040085930
"731",2040085570
"732",4040879040
"733",2040072920
"734",2040078750
"735",2040004140
"736",2040085740
"737",2040085630
"738",2040081260
"739",1040526810
"740",4040050330
"741",2040828780
"742",2040079310
"743",2040065840
"744",2040085760
"745",2040081250
"746",1040040280
"747",2040085660
"748",2040078760
"749",2040085700
"750",4040607260
"751",4040545690
"752",4040648320
"753",2040085540
"754",2040086170
"755",2040085820
"756",2040084120
"757",2040085510
"758",2040077570
"759",2040085550
"760",2040085830
"761",1040526970
"762",2040085640
"763",1040837630
"764",4040794590
"765",4040794730
"766",2040816390
"767",1040840230
"768",2040086930
"769",4040274300
"770",4040032880
"771",2040003440
"772",4040273960
"773",1040042060
"774",2040068710
"775",4040298640
"776",2040086460
"777",2040085530
"778",4040607420
"779",5040047730
"780",4040136250
"781",6040005180
"782",4040006520
"783",2040067570
"784",2040548700
"785",6040913910
"786",2040400110
"787",4040007860
"788",6040084790
"789",1040571900
"790",5040059020
"791",3040483980
"792",2040491980
"793",5040015660
"794",5040050310
"795",5040005830
"796",2040041190
"797",6040026760
"798",4040032420
"799",8040000010
"800",2040363710
"801",7040022240
"802",1040722720
"803",1040760280
"804",2040077480
"805",5040004230
"806",4040578640
"807",5040040360
"808",1040028700
"809",8040018970
"810",2040379750
"811",4040186730
"812",8040183880
"813",6040075410
"814",6040020000
"815",6040015940
"816",6040527680
"817",6040009760
"818",6040024060
"819",6040021870
"820",6040035990
"821",6040862810
"822",6040040470
"823",6040040500
"824",6040510750
"825",6040011780
"826",6040401890
"827",6040012590
"828",6040007950
"829",6040004880
"830",2040059450
"831",2040039600
"832",3040203310
"833",6040134460
"834",6040004470
