HYBAS_ID,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HMG,HFP
4040298640,13.611,26,6,2617.213,361,7.99947778,12.46753347,11.71770346,396.1077301,44.19585433,3547,103,0,2,12918.6,31256.27561,674,0.301162353,9.268641011
4040050240,0,16,1,2782.485,178,7.951813073,12.5835339,5.919830518,332.204186,51.72198478,5202,22,0,0,325885.8,446483.3573,807,0.264560939,5.160374052
4040050250,0,3,3,1747.15,111,4.972448262,11.58037853,9.726422497,201.1959375,22.28701855,994,17,0,0,248240.4,1157.376602,762,0.074690661,6.470849982
4040050260,114.566,148,23,5964.793,435,1.069593521,13.7062082,18.42956156,265.8289641,111.6982931,1368,118,0,17,144139.2,51375.3081,774,0.105444691,1.256519193
4040050270,0,3,0,681.805,308,-1.224543887,14.48047416,10.40032483,135.8250574,101.8204039,3974,24,0,0,326657,7815.172603,847,0.030544619,2.32516199
4040050280,0.438,97,14,6477.061,322,3.905993937,15.59144453,16.92218994,105.9480475,87.43666069,4852,100,2,37,101428.2,6964.073487,767,0.064608771,7.222540389
4040050290,64.385,145,24,3515.922,400,5.136266669,11.32460988,19.462649,200.1516538,55.05096544,4746,152,1,15,87577.3,1117871.858,767,0.196240884,6.496735693
4040050300,0,21,2,579.705,424,7.40263793,12.90618217,10.08072026,253.3803802,44.55631309,4874,110,0,1,241047.3,66760.67121,619,0.151008919,4.529905288
4040050310,0,11,2,1757.654,272,5.332785573,12.66364607,9.725453771,187.1775448,24.31054375,918,38,0,0,134139.1,7020.829722,847,0.063274856,5.97649571
4040050320,2.727,33,7,854.757,391,3.174821094,14.35944639,16.15985725,214.5919066,102.6089186,4463,103,0,1,71257.7,131088.5351,759,0.163412907,6.999513991
4040050330,6.572,6,0,306.565,375,4.88391555,12.77103484,13.8428452,288.2001663,37.92545353,3614,42,0,0,63346,27511.34074,479,0.239626983,7.62082196
4040050340,0,8,1,1218.959,238,4.240849605,11.89513482,17.53511262,254.8980522,52.84252786,4458,22,0,0,53030.7,107079.7421,847,0.21273168,4.713468917
4040050360,0,13,0,828.9,472,13.27793376,12.8760746,9.434633213,145.3554191,60.05454365,1991,44,0,3,165135.4,13296.38943,847,0.150879345,0.794027652
4040050370,0,8,0,797.823,402,8.467973891,14.72319046,23.65578729,69.65702498,97.82037549,1390,36,0,0,98548.2,1158.417722,847,0.022937981,0.950814606
4040050380,0,5,0,362.222,270,7.668332447,13.41964109,23.21800397,82.01169316,105.2805487,1418,20,0,2,46481.8,302.6562414,847,0.036085294,3.737592361
4040050390,2.762,8,0,513.024,335,2.31856983,13.10259316,18.58976962,151.9983949,113.0649818,2146,33,0,1,175153.5,1773.358899,847,0.058329604,3.424442728
4040050410,0,5,1,751.684,263,8.172022687,14.43331816,22.82225656,74.0337609,77.33118153,5058,24,0,1,144280.6,57487.08386,847,0.081461683,2.269471771
4040050430,0.857,307,18,37789.691,48,1.73645148,12.96162555,17.44440781,118.6068729,110.9002376,3204,26,0,0,203023.8,528.183604,852,0.046067854,3.235648418
4040050440,13754.474,483,27,42197.609,54,1.023439189,11.75588504,16.8527532,121.9883821,74.39175783,2746,68,18,0,34195.3,246.5676035,852,0.041000728,2.003903924
4040050450,1412.522,369,15,51854.609,53,6.434835578,12.35716011,22.10779261,105.3682402,106.1363725,1268,75,65,0,30565,1030.434417,852,0.050504578,2.513910098
4040050470,11488.671,407,36,79300.859,21,-1.496303804,12.92773336,7.750935364,351.844482,105.773918,1692,49,59,0,64450.4,1559.599808,852,0.048738303,0.85365241
4040050480,2920.475,127,41,39412.004,11,6.420636128,13.69300623,21.18037503,62.04472579,99.32168234,1682,18,64,0,77224.9,179.8168922,850,0.015964109,2.288519247
4040050520,7409.728,227,22,364490.188,58,4.863900047,12.43575119,21.32085199,120.536598,111.3251596,1072,58,60,8,76737.4,1001.887173,815,0.046338791,4.424826998
4040050550,921.682,85,11,63204.883,33,7.198271555,14.21031174,19.46774154,168.5432856,92.0927999,4001,26,44,21,115686.7,91537.34482,804,0.145273087,1.398210556
